page,visits,conversions,conversion_rate,avg_time_on_page,recommendation
/page_1,8270,1469,0.17762998790810158,114.57857370509078,Performing well
/page_2,6191,1054,0.1702471329349055,27.162050448668015,Performing well
/page_3,1466,224,0.15279672578444747,16.38919733850194,Low traffic → Improve SEO or campaigns
/page_4,9322,1695,0.1818279339197597,16.205273692981027,Performing well
/page_5,7949,395,0.04969178513020506,30.000746392781068,Performing well
/page_6,7420,1194,0.16091644204851752,43.46664672554915,Performing well
/page_7,7396,757,0.1023526230394808,12.536866754555733,Performing well
/page_8,9666,1092,0.11297330850403477,53.984706888678105,Performing well
/page_9,3047,485,0.15917295700689202,117.11310707256051,Performing well
/page_10,1189,199,0.16736753574432295,96.3693557532315,Low traffic → Improve SEO or campaigns
/page_11,5658,841,0.14863909508660303,61.34391825727779,Performing well
/page_12,4556,828,0.18173836698858647,84.83382924465576,Performing well
/page_13,6393,397,0.06209917096824652,113.6421931253338,Performing well
/page_14,9433,786,0.08332449909890809,11.756287744223561,Performing well
/page_15,8041,1373,0.1707499067280189,36.51280126286129,Performing well
/page_16,8099,1488,0.183726385973577,77.0996323560883,Performing well
/page_17,1775,44,0.024788732394366197,110.02524422866603,Users engaged but not converting → Check pricing or UX
/page_18,2585,369,0.14274661508704062,93.08975513494177,Performing well
/page_19,2021,399,0.19742701632855023,32.87358291550077,Performing well
/page_20,4843,831,0.17158785876522817,13.444462170111445,Performing well
